no,shop,name,rating,date,review_text
104,Kao Beauty & Personal Care,Ratkamol T.,1,16 พ.ย. 2022,เพิ่งเคยซื้อ bioreผ่านร้านออนไลน์ครั้งแรกบอกเลยว่าไม่ประทับใจ งงกับตรรกะการให้ของแถมมาก คือเราสั่งไปทั้งหมด 3 order แต่order ที่มูลค่าน้อยที่สุดกลับได้ของแถมเยอะสุด คือ order อื่นๆได้แค่แผ่นอนามัย 1 ซอง แต่ออเดอร์ที่มูลค่าน้อยที่สุดกลับได้แผ่นอนามัยบวกกับเอนชัวร์อีก 1 ซอง อีกทั้งร้านค้าโปรโมชั่นไม่ชัดเจนไม่สามารถอ่านได้ว่าต้องซื้อถึงมูลค่าเท่าไหร่ถึงจะได้ของแถมพนักงานก็ตอบคำถามค่อนข้างช้ามาก ก็เข้าใจอ่ะนะว่าออเดอร์เยอะมีลูกค้าสอบถามเข้ามาเยอะก็ไปคิดวิธีแก้ปัญหากันเอาเองแล้วกันนะสำหรับเราคง บายๆๆ
105,Kao Beauty & Personal Care,Arsarn K.,1,06 มี.ค. 2023,ใส่กันกระแทกมา แต่กล่องก็ยังบุบ
106,Kao Beauty & Personal Care,นัชชา ก.,1,29 พ.ย. 2021,"ส่งสินค้าให้ผิดเสียเวลาแทนที่จะได้ใช้สินค้าตามที่สั่งซื้อแล้วต้องรอต่อไปในการเปลี่ยนสินค้ากลับไปกลับมาและโทรนัดจะมารับของก็ไม่ได้รักษาคำพูดตามกำหนด
สรุปจนถึงตอนนี้ยังไม่ได้ใช้สินค้าเลย  ซื้อครั้งแรกและครั้งเดียวพอแล้วค่ะ"
107,Kao Beauty & Personal Care,w***w,2,25 พ.ย. 2019,
108,Kao Beauty & Personal Care,Thitikarn,3,01 พ.ย. 2020,
109,Kao Beauty & Personal Care,W***.,3,22 ก.ย. 2018,
110,Kao Beauty & Personal Care,a***.,3,21 ต.ค. 2021,สินค้าคุณภาพดี ราคาดึ ร้านจัดส่งเร็ว
111,Kao Beauty & Personal Care,ส***.,3,12 ม.ค. 2024,"ส่งไม่ช้าไม่เร็ว​ ได้ราคาตอนโปรถูกดี
แต่ใช้เวลาทำ e-tax​ invoice นานเกิ๊นนน​ admin บอก​ 1 เดือน​ให้รอตามนั้นนะ​ 🤣🤣🤣😅😅😅😅😅"
112,Kao Beauty & Personal Care,Youngjoon Y.,4,14 เม.ย. 2023,
113,Kao Beauty & Personal Care,D***ร,4,04 ก.ค. 2024,
114,Kao Beauty & Personal Care,ทรรศนีย์พงษ์ประสิทธิ์ชัย,4,12 มี.ค. 2022,
115,Kao Beauty & Personal Care,อัญชุลีพร บ.,4,07 ก.พ. 2021,
116,Kao Beauty & Personal Care,M***.,4,12 มิ.ย. 2021,สินค้าโอเค แพ็คของมาดี แต่รอส่งนานมาก สั่ง7ได้ของ11 ถ้ส่งเร็วกว่านี้จะดีมากๆเลย บางอันผลิตปี20เดือน10ก้ยังพอโอเคอยู่ บางอันผลิตปี21
117,Kao Beauty & Personal Care,ว***.,4,12 มิ.ย. 2024,ช่วยปกป้องจากแสงแดด ช่วยปกป้องจากแสงแดด ช่วยปกป้องจากแสงแดด ช่วยปกป้องจากแสงแดดดดดดดดด
118,Kao Beauty & Personal Care,สุขดีพร ภ.,4,31 พ.ค. 2021,
119,Kao Beauty & Personal Care,N***.,4,18 ก.พ. 2022,ได้รับสินค้าแล้วรวดเร็วดี ลองใช้แล้วเนื้อเป็นน้ำนม ควบคุมมันได้ดี สามารถเป็นเบสลงก่อนแต่งหน้าได้
120,Kao Beauty & Personal Care,อ***.,4,05 ก.ค. 2024,แพ็กมาดี ราคาไม่แพงแต่ผลิตตั้งแต่เดือน 11/23 มิน่าทำไมราคาถูก ก็ต้องยอมรับนะชอบของลดราคา
121,Kao Beauty & Personal Care,Pikul N.,4,17 พ.ย. 2021,
122,Kao Beauty & Personal Care,kankhanit N.,4,30 ธ.ค. 2022,
123,Kao Beauty & Personal Care,n***.,4,3 สัปดาห์ก่อน,
124,Kao Beauty & Personal Care,K. T.,4,03 ก.ค. 2021,
125,Kao Beauty & Personal Care,ชุติพนธ์ อ.,4,04 ก.ย. 2021,
126,Kao Beauty & Personal Care,จุฑามาศ ส.,4,08 พ.ย. 2021,
127,Kao Beauty & Personal Care,ชรินทร์ทิพย์ บ.,4,21 ธ.ค. 2022,
128,Kao Beauty & Personal Care,แสงดาว,4,06 มี.ค. 2021,
129,Kao Beauty & Personal Care,แก้วตา บ.,4,26 พ.ค. 2020,จัดส่งไว สินค้าไม่มีปัญหา แต่ช่วงที่ซื้อโลตัสลดราคาถูกกว่าเยอะค่ะ เสียดายที่ไม่ได้เช็คราคาที่อื่นก่อนซื้อ
130,Kao Beauty & Personal Care,หิรัญ,5,20 เม.ย. 2021,ส่งเร็วมากๆๆๆ
